% Model:              tube.mph
% Version:            COMSOL 5.3.0.260
% Date:               Sep 20 2024, 20:56
% Dimension:          2
% Nodes:              52
% Expressions:        1
% Description:        Velocity field, z component
% Length unit:        mm
% R                       Z                        w (m/s)
0.1137401326980776        5.000000000000001        0.0983786181154935
0.10708685656479222       5                        0.09917476704508768
0.4867765939535372        5                        0.005213721861657707
0.49290823688043106       5                        0.002813221230844525
0.4863682355754692        5                        0.005373489215228782
0.4855810572427719        5                        0.005676458174869869
0.12325495561697115       5                        0.09720331264364054
0.11448176189103206       5.000000000000001        0.09828800752512852
0.13034565882047866       5                        0.09628593768347887
0.11402272073081633       5                        0.09834481276691655
0.4762350700431126        5                        0.009274993311018836
0.46986419990140027       5                        0.011675582086253463
0.46533142000038596       5                        0.013382397055354484
0.13507423768680396       5                        0.09567198169945527
0.14553033144460903       5                        0.09423575433491745
0.45467352711624587       5                        0.017300108736324992
0.4490807808149382        5                        0.019327951672546237
0.2755554744603973        5                        0.07042581909030242
0.2595806698293945        5                        0.0739929608982563
0.15261048023992238       5                        0.09323008477762981
0.16368880784488582       5                        0.09159770591055845
0.17467037928292348       5                        0.08990316079109328
0.1818148791823025        5                        0.08875041558812258
0.2776640769955974        5                        0.06993553657888717
0.29199580470873887       5                        0.06656728438087668
0.4360594782302048        5                        0.02393993531737845
0.42648701383913296       5                        0.027262513601970212
0.23894885863591264       5                        0.0783421634837144
0.22020307037290685       4.999999999999999        0.081981926736867
0.2520902206472592        5                        0.07559744537425624
0.21606520025136433       5                        0.0827907864574688
0.19324844656966172       5                        0.08687030619339732
0.21251328169041492       5                        0.08343066489553232
0.3327694408622704        5                        0.05606816528061841
0.31311334601139995       5                        0.06130293159705093
0.30309490899170344       5                        0.06380402180475649
0.4155709196616804        5                        0.03094301274489419
0.4066693317706394        5                        0.0339352598701035
0.3873824607360929        5                        0.04010645782388397
0.3837891356346289        5                        0.04122731397079003
0.36305382100678996       5                        0.04751184705106494
0.33911780211929854       5                        0.05432768664892952
0.3854648321945683        5                        0.04071932480578047
0.3365928057147882        5                        0.05504786324025796
0.5                       5                        2.8349773144514435E-31
0.4983899001158274        5                        6.410802562757502E-4
0.4967764713092869        5                        0.0012834859622491948
0.1                       5                        0.10000002194542355
0.10160892684673217       5                        0.09981397046709019
0.10322129843854194       5                        0.09962752064876051
0.4948443514482797        5                        0.002047563721468756
0.10515201065462054       5                        0.09940138592644225
