% Model:              tube.mph
% Version:            COMSOL 5.3.0.260
% Date:               Sep 20 2024, 20:59
% Dimension:          2
% Nodes:              52
% Expressions:        1
% Description:        Velocity field, phi component
% Length unit:        mm
% R                       Z                        v (m/s)
0.1137401326980776        5.000000000000001        0.01574735573836534
0.10708685656479222       5                        0.013251845151285278
0.4867765939535372        5                        0.12213525375090346
0.49290823688043106       5                        0.12377209385945649
0.4863682355754692        5                        0.12202624805589227
0.4855810572427719        5                        0.12181589953670487
0.12325495561697115       5                        0.019167123216978416
0.11448176189103206       5.000000000000001        0.016017986069950127
0.13034565882047866       5                        0.02159748020006326
0.11402272073081633       5                        0.015853323118282057
0.4762350700431126        5                        0.11931841735382334
0.46986419990140027       5                        0.11761355062275498
0.46533142000038596       5                        0.11640066587101525
0.13507423768680396       5                        0.02321426620845138
0.14553033144460903       5                        0.02664503541857975
0.45467352711624587       5                        0.11354430297083547
0.4490807808149382        5                        0.11204430828806541
0.2755554744603973        5                        0.06477350160315405
0.2595806698293945        5                        0.060314466934378225
0.15261048023992238       5                        0.02891535503974782
0.16368880784488582       5                        0.032392947894139185
0.17467037928292348       5                        0.03576188802362647
0.1818148791823025        5                        0.03791225810954457
0.2776640769955974        5                        0.06535908261038227
0.29199580470873887       5                        0.06933424646080714
0.4360594782302048        5                        0.10854581975925524
0.42648701383913296       5                        0.10597096074229155
0.23894885863591264       5                        0.05450662997614175
0.22020307037290685       4.999999999999999        0.04915336164399218
0.2520902206472592        5                        0.05821135946028918
0.21606520025136433       5                        0.04797335201339807
0.19324844656966172       5                        0.04132737840536856
0.21251328169041492       5                        0.046940806788357985
0.3327694408622704        5                        0.08054633353528176
0.31311334601139995       5                        0.07515787569328852
0.30309490899170344       5                        0.07239565197857686
0.4155709196616804        5                        0.10302813371527483
0.4066693317706394        5                        0.1006278697215834
0.3873824607360929        5                        0.09541155774033173
0.3837891356346289        5                        0.09443782454108784
0.36305382100678996       5                        0.08880889245122531
0.33911780211929854       5                        0.08228279761204149
0.3854648321945683        5                        0.09489279211131721
0.3365928057147882        5                        0.08159432750688936
0.5                       5                        0.12566370782439662
0.4983899001158274        5                        0.1252343361994859
0.4967764713092869        5                        0.12480407683784508
0.1                       5                        0.010472133510130408
0.10160892684673217       5                        0.011111519193700637
0.10322129843854194       5                        0.011752273815013821
0.4948443514482797        5                        0.12428861821054682
0.10515201065462054       5                        0.012501257688302276
