x% Model:              tube.mph
% Version:            COMSOL 5.3.0.260
% Date:               Sep 22 2024, 23:01
% Dimension:          2
% Nodes:              53
% Expressions:        1
% Description:        
% Length unit:        mm
% R                       Z                        (2*0.001*(big_wall-small_wall)*(R1^2)*(R2^2))/((R2^2) - (R1^2)) * (1/(r^2)) (1/s)
0.10533410873806695       5                        0.06409134928940115
0.11067708001564193       5                        0.05805265399944069
0.1110152708052957        5                        0.05769949594279622
0.11150270893113387       5                        0.05719612773139392
0.11784428276224014       5                        0.05120595020608398
0.3895662530782595        5                        0.004685703543461675
0.3946824322297765        5                        0.004565011466995163
0.3888594804385603        5                        0.004702752049919218
0.12620851474119907       5.000000000000001        0.04464369709626293
0.1273437724709154        5                        0.04385125647430949
0.12972077702896484       5                        0.042258918828427694
0.3877090957591564        5                        0.004730700839494529
0.3814914094346982        5                        0.004886162867484387
0.1533501011632072        5.000000000000001        0.03023913270460935
0.14791819779725976       5                        0.03250081494483358
0.15833045224903528       5                        0.02836668329873678
0.1401891222135644        5                        0.03618335487786561
0.37354429289722446       5                        0.005096279676893592
0.3709551193475501        5                        0.005167669455740758
0.3693976274819626        5                        0.005211338230042978
0.1942501088051049        5                        0.01884581497946337
0.19240292577328982       5.000000000000001        0.019209414191097365
0.1793151927114266        5                        0.022115832395243985
0.17373909910307106       5                        0.02355821245769476
0.16536578880665048       5                        0.026004357675405928
0.35698233388337547       5                        0.005580126128012738
0.3523247690182294        5                        0.005728634481972617
0.23070585780279504       5                        0.013360423389268905
0.22475213464182306       5                        0.014077638671568023
0.246895103485127         5.000000000000001        0.011665745850853679
0.20732884706611723       5                        0.01654314206501896
0.21439435296810666       5                        0.015470729060196274
0.26119456181441914       5                        0.010423395183836889
0.24806805425529746       5                        0.011555687376393117
0.3447795613221848        5                        0.005982110611411209
0.33656157665497316       5                        0.006277813325162799
0.2476569547070999        5                        0.011594083073425944
0.2899806743020399        5                        0.008456669416828218
0.2780822838043552        5                        0.009195827617866649
0.2701244476319874        5                        0.009745624656060024
0.32390943850594184       5                        0.006777823543392606
0.31465232291638146       5                        0.007182499096081758
0.30084749640465086       5                        0.007856781240717533
0.29532423326141816       5                        0.008153410237953585
0.3312034044522513        5                        0.006482579925568313
0.10000000000000002       5                        0.07111111111111108
0.10120925378147609       5                        0.0694219836463423
0.10242459488093952       5                        0.0677842749187458
0.4000000000000001        5                        0.0044444444444444444
0.3987911515222717        5                        0.004471430012726782
0.39758292374080756       5                        0.004498648057403281
0.1038756994187108        5                        0.06590366128386789
0.3961323055675335        5                        0.004531656065899104
