% Model:              tube.mph
% Version:            COMSOL 5.3.0.260
% Date:               Sep 21 2024, 17:46
% Dimension:          2
% Nodes:              53
% Expressions:        1
% Description:        Velocity field, z component
% Length unit:        mm
% R                       Z                        w (m/s)
0.10533410873806695       5                        0.10336375994876179
0.11067708001564193       5                        0.10638129649929473
0.1110152708052957        5                        0.10657183878093977
0.11150270893113387       5                        0.10681036701687635
0.11784428276224014       5                        0.10994027912652873
0.3895662530782595        5                        0.010331916340130356
0.3946824322297765        5                        0.0053207955734155985
0.3888594804385603        5                        0.011024138983783432
0.12620851474119907       5.000000000000001        0.11338317239167299
0.1273437724709154        5                        0.11384564461977943
0.12972077702896484       5                        0.11456101357018941
0.3877090957591564        5                        0.01212008367882838
0.3814914094346982        5                        0.01805371230261155
0.1533501011632072        5.000000000000001        0.12041653972498778
0.14791819779725976       5                        0.11933685156311107
0.15833045224903528       5                        0.12099123037834944
0.1401891222135644        5                        0.11775170830408714
0.37354429289722446       5                        0.02537816093335791
0.3709551193475501        5                        0.027761721743067316
0.3693976274819626        5                        0.029139240075419837
0.1942501088051049        5                        0.1211838402031173
0.19240292577328982       5.000000000000001        0.12135162577145203
0.1793151927114266        5                        0.12218723369994604
0.17373909910307106       5                        0.12208235429219512
0.16536578880665048       5                        0.1218024737698574
0.35698233388337547       5                        0.03989336431654998
0.3523247690182294        5                        0.04378517156905762
0.23070585780279504       5                        0.11374568865083962
0.22475213464182306       5                        0.1153368441960955
0.246895103485127         5.000000000000001        0.1082007836413797
0.20732884706611723       5                        0.11935724790525337
0.21439435296810666       5                        0.11792149718242365
0.26119456181441914       5                        0.10230212786481038
0.24806805425529746       5                        0.10777512845881806
0.3447795613221848        5                        0.04991339762394201
0.33656157665497316       5                        0.056293894631063254
0.2476569547070999        5                        0.10794254092047033
0.2899806743020399        5                        0.08750878540359346
0.2780822838043552        5                        0.09415488363501819
0.2701244476319874        5                        0.09800137893740467
0.32390943850594184       5                        0.0656337148620892
0.31465232291638146       5                        0.0722110124460029
0.30084749640465086       5                        0.08099295586116678
0.29532423326141816       5                        0.0845088999263835
0.3312034044522513        5                        0.06044862032982456
0.10000000000000002       5                        0.10000040440836612
0.10120925378147609       5                        0.10078498456912534
0.10242459488093952       5                        0.10157351426388506
0.4000000000000001        5                        5.584851597072013E-18
0.3987911515222717        5                        0.0012161951611007618
0.39758292374080756       5                        0.0024317658537035677
0.1038756994187108        5                        0.10246638976289194
0.3961323055675335        5                        0.003876651659645281
