% Model:              Ex4current.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 28 2024, 18:01
% Dimension:          1
% Nodes:              28
% Expressions:        2
% Description:        Concentration, Concentration
% X                       c1 (mol/m^3)             c2 (mol/m^3)
0                         2.931710426000202E-4     0.00986467020155129
1.851851851851852E-4      3.017746237473565E-4     0.009927892317902377
3.703703703703704E-4      3.280903393578466E-4     0.010117973390285197
5.555555555555557E-4      3.7366274439638137E-4    0.010436133919318793
7.40740740740741E-4       4.411666315802163E-4     0.010884327086223344
9.259259259259263E-4      5.345640236657331E-4     0.01146510983030239
0.0011111111111111115     6.59336717454082E-4      0.012181446985894722
0.0012962962962962971     8.228080282799529E-4     0.013036431943867796
0.0014814814814814825     0.001034572619214286     0.014032900838607094
0.001666666666666668      0.0013070596430552438    0.015172909351256111
0.0018518518518518534     0.0016562622497430146    0.016457031375211657
0.002037037037037039      0.002102676276362018     0.017883426406811953
0.0022222222222222244     0.002672503214500669     0.019446606847889816
0.0024074074074074098     0.003399188061036799     0.021135816486690974
0.002592592592592595      0.004325382313814573     0.022932906056792646
0.002777777777777781      0.005505447326815615     0.02480955943415578
0.0029629629629629663     0.007008644954883737     0.02672368278109711
0.0031481481481481517     0.008923202757322694     0.028614716315887037
0.003333333333333337      0.011361492360391783     0.030397561237842024
0.0035185185185185224     0.014466624913641559     0.031954728671986524
0.003703703703703708      0.018420850748879652     0.03312620822273387
0.0038888888888888935     0.023456256245078876     0.033696414357240814
0.004074074074074079      0.029868385733030467     0.03337739111563474
0.004259259259259265      0.03803358795364392      0.0317872290455457
0.00444444444444445       0.04843110518996623      0.02842235938061693
0.0046296296296296354     0.06167120155594394      0.02262202225713912
0.00481481481481482       0.07853098138270728      0.013522736448227194
0.005                     0.1                      0
